Tract ID,STATE2KX,CNTY2KX,TRACT2KX,Age Group,nq(x),l(x),nd(x),nL(x),T(x),e(x),se(nq(x)),se(e(x))
51145500101,51,145,500101,Under 1,0.00734,100000,734,99339,7999556,80,0.0054,1.3301
51145500101,51,145,500101,1-4,0.001093,99266,109,396847,7900217,79.6,0.0003,1.2662
51145500101,51,145,500101,5-14,0.00116,99158,115,991000,7503370,75.7,0.0002,1.2675
51145500101,51,145,500101,15-24,0.011877,99043,1176,984544,6512370,65.8,0.0062,1.2689
51145500101,51,145,500101,25-34,0.012121,97866,1186,972731,5527826,56.5,0.0073,1.2253
51145500101,51,145,500101,35-44,0.010522,96680,1017,961714,4555095,47.1,0.0048,1.179
51145500101,51,145,500101,45-54,0.020826,95663,1992,946666,3593381,37.6,0.0062,1.1734
51145500101,51,145,500101,55-64,0.056512,93670,5294,910237,2646715,28.3,0.0098,1.1795
51145500101,51,145,500101,65-74,0.104666,88377,9250,837519,1736479,19.6,0.0161,1.2238
51145500101,51,145,500101,75-84,0.423645,79127,33522,623660,898960,11.4,0.0659,1.3349
51145500101,51,145,500101,85 and older,1,45605,45605,275299,275299,6,0.0533,1.9419
51145500102,51,145,500102,Under 1,0.005008,100000,501,99549,8010345,80.1,0.0036,1.7676
51145500102,51,145,500102,1-4,0.001093,99499,109,397779,7910795,79.5,0.0002,1.7525
51145500102,51,145,500102,5-14,0.00116,99390,115,993328,7513016,75.6,0.0002,1.7544
51145500102,51,145,500102,15-24,0.009485,99275,942,988043,6519688,65.7,0.0049,1.7564
51145500102,51,145,500102,25-34,0.007491,98333,737,979652,5531645,56.3,0.0054,1.7472
51145500102,51,145,500102,35-44,0.015955,97597,1557,968183,4551993,46.6,0.0058,1.7379
51145500102,51,145,500102,45-54,0.022636,96040,2174,949527,3583810,37.3,0.0065,1.7486
51145500102,51,145,500102,55-64,0.064264,93866,6032,908496,2634283,28.1,0.0139,1.7755
51145500102,51,145,500102,65-74,0.141353,87834,12415,816258,1725786,19.6,0.0243,1.8618
51145500102,51,145,500102,75-84,0.43299,75418,32655,590904,909529,12.1,0.1046,2.1137
51145500102,51,145,500102,85 and older,1,42763,42763,318625,318625,7.5,0.0529,2.9358
51145500200,51,145,500200,Under 1,0.012271,100000,1227,98896,7955104,79.6,0.0096,1.5217
51145500200,51,145,500200,1-4,0.001939,98773,192,394709,7856208,79.5,0.0019,1.3253
51145500200,51,145,500200,5-14,0.001162,98581,115,985241,7461499,75.7,0.0012,1.3192
51145500200,51,145,500200,15-24,0.005496,98467,541,981963,6476258,65.8,0.0032,1.3181
51145500200,51,145,500200,25-34,0.01039,97926,1017,974170,5494295,56.1,0.0043,1.3106
51145500200,51,145,500200,35-44,0.017542,96908,1700,960584,4520125,46.6,0.005,1.3048
51145500200,51,145,500200,45-54,0.026744,95208,2546,939353,3559542,37.4,0.0055,1.3104
51145500200,51,145,500200,55-64,0.061425,92662,5692,898163,2620189,28.3,0.0098,1.3332
51145500200,51,145,500200,65-74,0.15021,86970,13064,804385,1722026,19.8,0.0213,1.3965
51145500200,51,145,500200,75-84,0.304729,73907,22521,626458,917641,12.4,0.0487,1.5844
51145500200,51,145,500200,85 and older,1,51385,51385,291182,291182,5.7,0.067,2.1529
51145500400,51,145,500400,Under 1,0.008269,100000,827,99256,7765677,77.7,0.0017,1.7376
51145500400,51,145,500400,1-4,0.003653,99173,362,395968,7666421,77.3,0.0037,1.747
51145500400,51,145,500400,5-14,0.001619,98811,160,987308,7270453,73.6,0.0002,1.7309
51145500400,51,145,500400,15-24,0.011723,98651,1157,980726,6283145,63.7,0.006,1.7336
51145500400,51,145,500400,25-34,0.007657,97494,747,971211,5302419,54.4,0.0055,1.7162
51145500400,51,145,500400,35-44,0.037717,96748,3649,949233,4331208,44.8,0.0101,1.7074
51145500400,51,145,500400,45-54,0.032835,93099,3057,915704,3381975,36.3,0.0081,1.72
51145500400,51,145,500400,55-64,0.067839,90042,6108,869877,2466272,27.4,0.0143,1.7574
51145500400,51,145,500400,65-74,0.19398,83934,16281,757928,1596394,19,0.0304,1.8487
51145500400,51,145,500400,75-84,0.56383,67652,38144,485800,838466,12.4,0.1,2.1978
51145500400,51,145,500400,85 and older,1,29508,29508,352666,352666,12,0.0225,3.2071
