Tract ID,STATE2KX,CNTY2KX,TRACT2KX,Age Group,nq(x),l(x),nd(x),nL(x),T(x),e(x),se(nq(x)),se(e(x))
51810040200,51,810,040200,Under 1,0.009514,100000,951,99144,7384268,73.8,0.0014,1.2159
51810040200,51,810,040200,1-4,0.001266,99049,125,395944,7285124,73.6,0.0002,1.2228
51810040200,51,810,040200,5-14,0.001344,98923,133,988568,6889181,69.6,0.0002,1.2243
51810040200,51,810,040200,15-24,0.010182,98790,1006,982874,5900613,59.7,0.001,1.2258
51810040200,51,810,040200,25-34,0.015486,97784,1514,970273,4917739,50.3,0.0018,1.2371
51810040200,51,810,040200,35-44,0.029793,96270,2868,948360,3947466,41,0.0039,1.2538
51810040200,51,810,040200,45-54,0.070456,93402,6581,901116,2999106,32.1,0.0108,1.2835
51810040200,51,810,040200,55-64,0.137598,86821,11946,808480,2097990,24.2,0.0198,1.3383
51810040200,51,810,040200,65-74,0.236026,74875,17672,660386,1289510,17.2,0.0427,1.4659
51810040200,51,810,040200,75-84,0.44126,57202,25241,445818,629125,11,0.1037,1.6974
51810040200,51,810,040200,85 and older,1,31961,31961,183307,183307,5.7,0.0697,2.2927
51810040402,51,810,040402,Under 1,0.016203,100000,1620,98542,7690403,76.9,0.0052,2.0953
51810040402,51,810,040402,1-4,0.001322,98380,130,393259,7591862,77.2,0.0003,2.0894
51810040402,51,810,040402,5-14,0.001333,98250,131,981841,7198603,73.3,0.0003,2.0921
51810040402,51,810,040402,15-24,0.005891,98119,578,978296,6216762,63.4,0.003,2.0948
51810040402,51,810,040402,25-34,0.016687,97541,1628,967268,5238466,53.7,0.0043,2.0995
51810040402,51,810,040402,35-44,0.014925,95913,1432,951972,4271198,44.5,0.0057,2.1241
51810040402,51,810,040402,45-54,0.028549,94481,2697,931328,3319226,35.1,0.0094,2.1438
51810040402,51,810,040402,55-64,0.111331,91784,10218,866749,2387898,26,0.0222,2.1864
51810040402,51,810,040402,65-74,0.212451,81566,17329,729013,1521149,18.6,0.0448,2.3882
51810040402,51,810,040402,75-84,0.503673,64237,32354,480598,792136,12.3,0.1443,2.8679
51810040402,51,810,040402,85 and older,1,31883,31883,311538,311538,9.8,0.0405,3.8656
51810040403,51,810,040403,Under 1,0.008483,100000,848,99237,7550283,75.5,0.0018,1.2088
51810040403,51,810,040403,1-4,0.001226,99152,122,396364,7451046,75.1,0.0003,1.2113
51810040403,51,810,040403,5-14,0.001387,99030,137,989615,7054682,71.2,0.0003,1.2126
51810040403,51,810,040403,15-24,0.009147,98893,905,984405,6065068,61.3,0.0014,1.2142
51810040403,51,810,040403,25-34,0.013537,97988,1327,973250,5080663,51.8,0.0017,1.2227
51810040403,51,810,040403,35-44,0.024591,96662,2377,954732,4107413,42.5,0.0039,1.2369
51810040403,51,810,040403,45-54,0.055462,94285,5229,916701,3152681,33.4,0.0068,1.2589
51810040403,51,810,040403,55-64,0.114216,89055,10172,839697,2235980,25.1,0.0165,1.3149
51810040403,51,810,040403,65-74,0.211535,78884,16687,705406,1396283,17.7,0.0382,1.4229
51810040403,51,810,040403,75-84,0.434143,62197,27002,486960,690877,11.1,0.0849,1.627
51810040403,51,810,040403,85 and older,1,35195,35195,203917,203917,5.8,0.0708,2.3764
51810040404,51,810,040404,Under 1,0.009706,100000,971,99126,7969130,79.7,0.0046,1.1513
51810040404,51,810,040404,1-4,0.000719,99029,71,395975,7870004,79.5,0.0002,1.1019
51810040404,51,810,040404,5-14,0.000989,98958,98,989093,7474029,75.5,0.0002,1.1026
51810040404,51,810,040404,15-24,0.005375,98860,531,985946,6484936,65.6,0.0039,1.1036
51810040404,51,810,040404,25-34,0.009893,98329,973,978426,5498990,55.9,0.0042,1.0838
51810040404,51,810,040404,35-44,0.009686,97356,943,968847,4520564,46.4,0.0045,1.0729
51810040404,51,810,040404,45-54,0.022135,96413,2134,953461,3551717,36.8,0.0064,1.0668
51810040404,51,810,040404,55-64,0.040182,94279,3788,923849,2598255,27.6,0.008,1.07
51810040404,51,810,040404,65-74,0.156671,90491,14177,834022,1674406,18.5,0.027,1.0975
51810040404,51,810,040404,75-84,0.469279,76314,35812,584074,840384,11,0.0711,1.1961
51810040404,51,810,040404,85 and older,1,40501,40501,256310,256310,6.3,0.0416,1.6659
51810040600,51,810,040600,Under 1,0.009924,100000,992,99107,7493784,74.9,0.0045,1.3886
51810040600,51,810,040600,1-4,0.003264,99008,323,395384,7394677,74.7,0.0024,1.3593
51810040600,51,810,040600,5-14,0.001387,98684,137,986160,6999293,70.9,0.0002,1.3524
51810040600,51,810,040600,15-24,0.0025,98548,246,984244,6013132,61,0.0025,1.3542
51810040600,51,810,040600,25-34,0.008684,98301,854,978744,5028888,51.2,0.003,1.3501
51810040600,51,810,040600,35-44,0.030417,97448,2964,959656,4050144,41.6,0.0094,1.3545
51810040600,51,810,040600,45-54,0.041881,94484,3957,925051,3090488,32.7,0.0105,1.3479
51810040600,51,810,040600,55-64,0.121445,90527,10994,850296,2165438,23.9,0.0288,1.3705
51810040600,51,810,040600,65-74,0.206473,79533,16421,713219,1315142,16.5,0.0493,1.3914
51810040600,51,810,040600,75-84,0.569288,63111,35928,451470,601923,9.5,0.1226,1.5034
51810040600,51,810,040600,85 and older,1,27183,27183,150453,150453,5.5,0.0583,1.7865
51810040801,51,810,040801,Under 1,0.009671,100000,967,99130,7549528,75.5,0.0022,1.2297
51810040801,51,810,040801,1-4,0.001366,99033,135,395861,7450398,75.2,0.0003,1.2303
51810040801,51,810,040801,5-14,0.001583,98898,157,988193,7054537,71.3,0.0003,1.2317
51810040801,51,810,040801,15-24,0.004516,98741,446,985180,6066345,61.4,0.0032,1.2335
51810040801,51,810,040801,25-34,0.009054,98295,890,978501,5081164,51.7,0.0038,1.2253
51810040801,51,810,040801,35-44,0.022753,97405,2216,962970,4102663,42.1,0.0097,1.2234
51810040801,51,810,040801,45-54,0.046965,95189,4471,929536,3139693,33,0.0142,1.1933
51810040801,51,810,040801,55-64,0.107567,90718,9758,858392,2210157,24.4,0.0241,1.1732
51810040801,51,810,040801,65-74,0.18319,80960,14831,735445,1351765,16.7,0.0388,1.1766
51810040801,51,810,040801,75-84,0.551918,66129,36498,478801,616320,9.3,0.0959,1.2697
51810040801,51,810,040801,85 and older,1,29631,29631,137519,137519,4.6,0.0902,1.942
51810040802,51,810,040802,Under 1,0.01809,100000,1809,98372,7636489,76.4,0.0081,1.6705
51810040802,51,810,040802,1-4,0.002586,98191,254,392256,7538117,76.8,0.0026,1.5762
51810040802,51,810,040802,5-14,0.002612,97937,256,978091,7145861,73,0.0026,1.568
51810040802,51,810,040802,15-24,0.003386,97681,331,975158,6167769,63.1,0.0034,1.5618
51810040802,51,810,040802,25-34,0.005757,97350,560,970702,5192611,53.3,0.0034,1.5543
51810040802,51,810,040802,35-44,0.007212,96790,698,964410,4221909,43.6,0.0042,1.5546
51810040802,51,810,040802,45-54,0.039674,96092,3812,941858,3257500,33.9,0.0101,1.5572
51810040802,51,810,040802,55-64,0.100282,92280,9254,876526,2315642,25.1,0.0207,1.59
51810040802,51,810,040802,65-74,0.266344,83026,22113,719690,1439115,17.3,0.0497,1.6912
51810040802,51,810,040802,75-84,0.440901,60912,26856,474841,719426,11.8,0.0786,2.0046
51810040802,51,810,040802,85 and older,1,34056,34056,244584,244584,7.2,0.0611,3.1495
51810041002,51,810,041002,Under 1,0.007398,100000,740,99334,7494394,74.9,0.0077,2.1734
51810041002,51,810,041002,1-4,0.001308,99260,130,396781,7395060,74.5,0.0004,2.1099
51810041002,51,810,041002,5-14,0.001553,99130,154,990534,6998279,70.6,0.0003,2.1124
51810041002,51,810,041002,15-24,0.016155,98976,1599,981769,6007746,60.7,0.0117,2.1156
51810041002,51,810,041002,25-34,0.01523,97377,1483,966359,5025977,51.6,0.0026,2.0432
51810041002,51,810,041002,35-44,0.01544,95894,1481,951541,4059618,42.3,0.0091,2.0709
51810041002,51,810,041002,45-54,0.050068,94414,4727,920502,3108077,32.9,0.0158,2.0741
51810041002,51,810,041002,55-64,0.14902,89687,13365,830041,2187575,24.4,0.0385,2.128
51810041002,51,810,041002,65-74,0.266299,76322,20324,661594,1357534,17.8,0.0572,2.2783
51810041002,51,810,041002,75-84,0.334029,55997,18705,466448,695941,12.4,0.0961,2.7927
51810041002,51,810,041002,85 and older,1,37292,37292,229492,229492,6.2,0.1023,3.8723
51810041003,51,810,041003,Under 1,0.004516,100000,452,99594,7775152,77.8,0.0046,1.5397
51810041003,51,810,041003,1-4,0.000882,99548,88,398018,7675559,77.1,0.0002,1.5032
51810041003,51,810,041003,5-14,0.001182,99461,118,994018,7277541,73.2,0.0002,1.5045
51810041003,51,810,041003,15-24,0.003334,99343,331,991774,6283523,63.3,0.0034,1.5062
51810041003,51,810,041003,25-34,0.006048,99012,599,987123,5291749,53.4,0.0036,1.4983
51810041003,51,810,041003,35-44,0.038743,98413,3813,965065,4304626,43.7,0.0141,1.4973
51810041003,51,810,041003,45-54,0.042553,94600,4026,925873,3339561,35.3,0.013,1.4416
51810041003,51,810,041003,55-64,0.095569,90575,8656,862465,2413687,26.6,0.0231,1.4426
51810041003,51,810,041003,65-74,0.17199,81918,14089,748739,1551222,18.9,0.038,1.4732
51810041003,51,810,041003,75-84,0.332792,67829,22573,565427,802484,11.8,0.068,1.6025
51810041003,51,810,041003,85 and older,1,45256,45256,237056,237056,5.2,0.0789,2.1635
51810041004,51,810,041004,Under 1,0.01457,100000,1457,98689,7441300,74.4,0.009,1.5212
51810041004,51,810,041004,1-4,0.001366,98543,135,393903,7342612,74.5,0.0003,1.3803
51810041004,51,810,041004,5-14,0.001583,98408,156,983305,6948709,70.6,0.0003,1.382
51810041004,51,810,041004,15-24,0.010646,98253,1046,977295,5965404,60.7,0.0014,1.3841
51810041004,51,810,041004,25-34,0.019068,97207,1854,962797,4988109,51.3,0.0075,1.3967
51810041004,51,810,041004,35-44,0.037189,95353,3546,935799,4025312,42.2,0.0127,1.3772
51810041004,51,810,041004,45-54,0.044053,91807,4044,897847,3089512,33.7,0.0119,1.336
51810041004,51,810,041004,55-64,0.090964,87763,7983,837709,2191665,25,0.019,1.3465
51810041004,51,810,041004,65-74,0.214514,79779,17114,712224,1353955,17,0.0388,1.4082
51810041004,51,810,041004,75-84,0.48474,62666,30376,474773,641731,10.2,0.0913,1.6272
51810041004,51,810,041004,85 and older,1,32289,32289,166958,166958,5.2,0.097,2.5933
51810041200,51,810,041200,Under 1,0.004844,100000,484,99564,7758673,77.6,0.0007,1.3364
51810041200,51,810,041200,1-4,0.000711,99516,71,397921,7659109,77,0.0002,1.3418
51810041200,51,810,041200,5-14,0.004531,99445,451,992195,7261189,73,0.0046,1.3427
51810041200,51,810,041200,15-24,0.022297,98994,2207,978906,6268994,63.3,0.0099,1.3117
51810041200,51,810,041200,25-34,0.031218,96787,3021,952762,5290088,54.7,0.0105,1.1979
51810041200,51,810,041200,35-44,0.002353,93766,221,936552,4337326,46.3,0.0024,1.1045
51810041200,51,810,041200,45-54,0.040161,93545,3757,916664,3400774,36.4,0.0095,1.1027
51810041200,51,810,041200,55-64,0.071073,89788,6382,865973,2484109,27.7,0.0135,1.1024
