Tract ID,STATE2KX,CNTY2KX,TRACT2KX,Age Group,nq(x),l(x),nd(x),nL(x),T(x),e(x),se(nq(x)),se(e(x))
51135000100,51,135,000100,Under 1,0.003227,100000,323,99710,7452050,74.5,0.0023,1.1742
51135000100,51,135,000100,1-4,0.002357,99677,235,398239,7352340,73.8,0.0024,1.1651
51135000100,51,135,000100,5-14,0.002467,99442,245,993196,6954101,69.9,0.0025,1.1549
51135000100,51,135,000100,15-24,0.009229,99197,916,987392,5960905,60.1,0.0049,1.1463
51135000100,51,135,000100,25-34,0.012385,98281,1217,976728,4973513,50.6,0.0049,1.1234
51135000100,51,135,000100,35-44,0.023791,97064,2309,959096,3996784,41.2,0.0085,1.1141
51135000100,51,135,000100,45-54,0.066732,94755,6323,915934,3037688,32.1,0.0133,1.0949
51135000100,51,135,000100,55-64,0.155098,88432,13716,815740,2121754,24,0.027,1.0983
51135000100,51,135,000100,65-74,0.235974,74716,17631,659007,1306014,17.5,0.0369,1.0826
51135000100,51,135,000100,75-84,0.448384,57085,25596,442871,647007,11.3,0.0657,1.1766
51135000100,51,135,000100,85 and older,1,31489,31489,204136,204136,6.5,0.0389,1.6368
51135000200,51,135,000200,Under 1,0.009305,100000,931,99163,7801046,78,0.0032,1.6538
51135000200,51,135,000200,1-4,0.001582,99069,157,395965,7701883,77.7,0.0005,1.6503
51135000200,51,135,000200,5-14,0.001863,98913,184,988206,7305918,73.9,0.0004,1.6525
51135000200,51,135,000200,15-24,0.011607,98729,1146,981555,6317712,64,0.0023,1.6554
51135000200,51,135,000200,25-34,0.008643,97583,843,971609,5336157,54.7,0.0088,1.669
51135000200,51,135,000200,35-44,0.020325,96739,1966,957560,4364548,45.1,0.0105,1.6238
51135000200,51,135,000200,45-54,0.055955,94773,5303,921214,3406988,35.9,0.017,1.5986
51135000200,51,135,000200,55-64,0.044199,89470,3954,874926,2485774,27.8,0.0121,1.5869
51135000200,51,135,000200,65-74,0.146678,85515,12543,792438,1610848,18.8,0.0304,1.6326
51135000200,51,135,000200,75-84,0.459906,72972,33560,561920,818410,11.2,0.1046,1.8237
51135000200,51,135,000200,85 and older,1,39412,39412,256490,256490,6.5,0.0599,2.5373
51135000300,51,135,000300,Under 1,0.015506,100000,1551,98604,7599481,76,0.006,1.1622
51135000300,51,135,000300,1-4,0.001621,98449,160,393478,7500877,76.2,0.0003,1.0818
51135000300,51,135,000300,5-14,0.002129,98290,209,981852,7107399,72.3,0.0003,1.0832
51135000300,51,135,000300,15-24,0.014048,98081,1378,973917,6125547,62.5,0.0056,1.0854
51135000300,51,135,000300,25-34,0.006539,96703,632,963866,5151630,53.3,0.0033,1.0503
51135000300,51,135,000300,35-44,0.02488,96070,2390,948753,4187764,43.6,0.0069,1.0448
51135000300,51,135,000300,45-54,0.049654,93680,4652,913544,3239011,34.6,0.0092,1.0342
51135000300,51,135,000300,55-64,0.095129,89029,8469,847940,2325467,26.1,0.0154,1.0456
51135000300,51,135,000300,65-74,0.217746,80559,17542,717886,1477527,18.3,0.031,1.0847
51135000300,51,135,000300,75-84,0.401043,63018,25273,503814,759641,12.1,0.0524,1.2103
51135000300,51,135,000300,85 and older,1,37745,37745,255827,255827,6.8,0.0379,1.7388
