Tract ID,STATE2KX,CNTY2KX,TRACT2KX,Age Group,nq(x),l(x),nd(x),nL(x),T(x),e(x),se(nq(x)),se(e(x))
51083930100,51,083,930100,Under 1,0.014095,100000,1409,98731,7620510,76.2,0.0106,1.8328
51083930100,51,083,930100,1-4,0.001968,98591,194,393974,7521778,76.3,0.0005,1.6631
51083930100,51,083,930100,5-14,0.002124,98396,209,982920,7127804,72.4,0.0005,1.6659
51083930100,51,083,930100,15-24,0.021882,98188,2149,971133,6144884,62.6,0.0131,1.6692
51083930100,51,083,930100,25-34,0.006161,96039,592,957431,5173752,53.9,0.0063,1.5147
51083930100,51,083,930100,35-44,0.028756,95447,2745,940749,4216320,44.2,0.0152,1.4921
51083930100,51,083,930100,45-54,0.036199,92703,3356,910247,3275571,35.3,0.0139,1.4014
51083930100,51,083,930100,55-64,0.08188,89347,7316,856890,2365325,26.5,0.0198,1.3813
51083930100,51,083,930100,65-74,0.226957,82031,18618,727223,1508435,18.4,0.043,1.4177
51083930100,51,083,930100,75-84,0.341753,63414,21672,525777,781212,12.3,0.0684,1.5606
51083930100,51,083,930100,85 and older,1,41742,41742,255435,255435,6.1,0.0553,2.0698
51083930201,51,083,930201,Under 1,0.024961,100000,2496,97754,7372673,73.7,0.0243,2.2543
51083930201,51,083,930201,1-4,0.009713,97504,947,388122,7274919,74.6,0.0073,1.3433
51083930201,51,083,930201,5-14,0.002124,96557,205,964544,6886798,71.3,0.0004,1.2439
51083930201,51,083,930201,15-24,0.011435,96352,1102,958010,5922254,61.5,0.006,1.2463
51083930201,51,083,930201,25-34,0.009649,95250,919,947905,4964244,52.1,0.0058,1.2126
51083930201,51,083,930201,35-44,0.025994,94331,2452,931049,4016339,42.6,0.0092,1.1925
51083930201,51,083,930201,45-54,0.053179,91879,4886,894359,3085290,33.6,0.0128,1.1688
51083930201,51,083,930201,55-64,0.127501,86993,11092,814471,2190931,25.2,0.0199,1.1646
51083930201,51,083,930201,65-74,0.19569,75901,14853,684747,1376460,18.1,0.03,1.2261
51083930201,51,083,930201,75-84,0.40326,61048,24618,487390,691714,11.3,0.0632,1.3971
