Tract ID,STATE2KX,CNTY2KX,TRACT2KX,Age Group,nq(x),l(x),nd(x),nL(x),T(x),e(x),se(nq(x)),se(e(x))
51115951300,51,115,951300,Under 1,0.005517,100000,552,99503,8492990,84.9,0.0042,2.3203
51115951300,51,115,951300,1-4,0.001194,99448,119,397556,8393487,84.4,0.0005,2.3053
51115951300,51,115,951300,5-14,0.001207,99330,120,992696,7995931,80.5,0.0003,2.3077
51115951300,51,115,951300,15-24,0.008993,99210,892,987635,7003235,70.6,0.0054,2.3104
51115951300,51,115,951300,25-34,0.006585,98317,647,979937,6015600,61.2,0.0048,2.3033
51115951300,51,115,951300,35-44,0.006252,97670,611,973647,5035663,51.6,0.0045,2.3027
51115951300,51,115,951300,45-54,0.025094,97059,2436,958415,4062016,41.9,0.0077,2.3075
51115951300,51,115,951300,55-64,0.034974,94624,3309,929691,3103601,32.8,0.0102,2.3481
51115951300,51,115,951300,65-74,0.089651,91314,8186,872212,2173910,23.8,0.0163,2.414
51115951300,51,115,951300,75-84,0.263158,83128,21876,721901,1301699,15.7,0.0472,2.6258
51115951300,51,115,951300,85 and older,1,61252,61252,579798,579798,9.5,0.0384,3.4411
51115951400,51,115,951400,Under 1,0.006285,100000,628,99434,7913095,79.1,0.0087,1.0601
51115951400,51,115,951400,1-4,0.001093,99372,109,397269,7813660,78.6,0.0003,0.8089
51115951400,51,115,951400,5-14,0.00116,99263,115,992053,7416392,74.7,0.0004,0.8093
51115951400,51,115,951400,15-24,0.008457,99148,838,987285,6424338,64.8,0.0018,0.8099
51115951400,51,115,951400,25-34,0.011741,98309,1154,977322,5437053,55.3,0.0047,0.8094
51115951400,51,115,951400,35-44,0.013901,97155,1351,964798,4459731,45.9,0.002,0.7832
51115951400,51,115,951400,45-54,0.030389,95805,2911,943488,3494933,36.5,0.0049,0.79
51115951400,51,115,951400,55-64,0.06601,92893,6132,898272,2551445,27.5,0.009,0.7977
51115951400,51,115,951400,65-74,0.155915,86761,13527,799976,1653173,19.1,0.0203,0.8221
51115951400,51,115,951400,75-84,0.387876,73234,28406,590310,853197,11.7,0.0488,0.888
51115951400,51,115,951400,85 and older,1,44828,44828,262887,262887,5.9,0.0338,1.1637
