Tract ID,STATE2KX,CNTY2KX,TRACT2KX,Age Group,nq(x),l(x),nd(x),nL(x),T(x),e(x),se(nq(x)),se(e(x))
51031020101,51,031,020101,Under 1,0.002197,100000,220,99802,7686115,76.9,0.0022,1.2279
51031020101,51,031,020101,1-4,0.001484,99780,148,398825,7586313,76,0.0003,1.2186
51031020101,51,031,020101,5-14,0.001619,99632,161,995516,7187488,72.1,0.0003,1.2202
51031020101,51,031,020101,15-24,0.009322,99471,927,990073,6191972,62.2,0.0049,1.222
51031020101,51,031,020101,25-34,0.00843,98544,831,981283,5201899,52.8,0.0044,1.2
51031020101,51,031,020101,35-44,0.014114,97713,1379,970234,4220616,43.2,0.0061,1.1911
51031020101,51,031,020101,45-54,0.041681,96334,4015,943262,3250382,33.7,0.0093,1.1845
51031020101,51,031,020101,55-64,0.10761,92319,9934,873514,2307120,25,0.0182,1.2012
51031020101,51,031,020101,65-74,0.145956,82384,12024,763720,1433607,17.4,0.0243,1.2666
51031020101,51,031,020101,75-84,0.554493,70360,39014,508527,669887,9.5,0.0935,1.4244
51031020101,51,031,020101,85 and older,1,31346,31346,161359,161359,5.1,0.09,2.3844
51031020102,51,031,020102,Under 1,0.006013,100000,601,99459,7699913,77,0.0044,1.2715
51031020102,51,031,020102,1-4,0.007291,99399,725,396145,7600454,76.5,0.0054,1.2329
51031020102,51,031,020102,5-14,0.001826,98674,180,985838,7204309,73,0.0003,1.1728
51031020102,51,031,020102,15-24,0.00996,98494,981,980033,6218470,63.1,0.0059,1.1748
51031020102,51,031,020102,25-34,0.003352,97513,327,973493,5238437,53.7,0.0034,1.1339
51031020102,51,031,020102,35-44,0.021231,97186,2063,961542,4264944,43.9,0.0078,1.1255
51031020102,51,031,020102,45-54,0.035987,95122,3423,934109,3303403,34.7,0.0095,1.1052
51031020102,51,031,020102,55-64,0.095314,91699,8740,873292,2369294,25.8,0.0185,1.1058
51031020102,51,031,020102,65-74,0.190406,82959,15796,750611,1496002,18,0.0325,1.128
51031020102,51,031,020102,75-84,0.325098,67163,21835,562458,745391,11.1,0.0627,1.2341
51031020102,51,031,020102,85 and older,1,45329,45329,182933,182933,4,0.0997,1.6244
51031020200,51,031,020200,Under 1,0.008825,100000,883,99206,7512623,75.1,0.0046,1.1331
51031020200,51,031,020200,1-4,0.00177,99117,175,396119,7413417,74.8,0.0004,1.0881
51031020200,51,031,020200,5-14,0.001587,98942,157,988635,7017298,70.9,0.0003,1.0896
51031020200,51,031,020200,15-24,0.006303,98785,623,984737,6028663,61,0.0045,1.0912
51031020200,51,031,020200,25-34,0.022124,98162,2172,970765,5043926,51.4,0.0078,1.0675
51031020200,51,031,020200,35-44,0.033557,95991,3221,943801,4073161,42.4,0.0109,1.0244
