Tract ID,STATE2KX,CNTY2KX,TRACT2KX,Age Group,nq(x),l(x),nd(x),nL(x),T(x),e(x),se(nq(x)),se(e(x))
51159040100,51,159,040100,Under 1,0.009432,100000,943,99151,7634894,76.3,0.0059,1.2975
51159040100,51,159,040100,1-4,0.001146,99057,113,396000,7535743,76.1,0.0004,1.2272
51159040100,51,159,040100,5-14,0.007905,98943,782,985522,7139743,72.2,0.0057,1.2282
51159040100,51,159,040100,15-24,0.00678,98161,665,978284,6154221,62.7,0.0049,1.1764
51159040100,51,159,040100,25-34,0.022452,97496,2189,964012,5175937,53.1,0.0104,1.1492
51159040100,51,159,040100,35-44,0.019586,95307,1867,943734,4211925,44.2,0.0077,1.052
51159040100,51,159,040100,45-54,0.064402,93440,6018,904312,3268191,35,0.0132,1.0259
51159040100,51,159,040100,55-64,0.101277,87422,8854,829954,2363879,27,0.0175,0.9986
51159040100,51,159,040100,65-74,0.181186,78568,14236,714507,1533925,19.5,0.025,1.0027
51159040100,51,159,040100,75-84,0.328456,64333,21131,537677,819418,12.7,0.0435,1.0979
51159040100,51,159,040100,85 and older,1,43202,43202,281741,281741,6.5,0.0342,1.4547
51159040200,51,159,040200,Under 1,0.0082,100000,820,99262,8005389,80.1,0.0025,1.8634
51159040200,51,159,040200,1-4,0.001303,99180,129,396462,7906127,79.7,0.0004,1.8674
51159040200,51,159,040200,5-14,0.001867,99051,185,989583,7509665,75.8,0.0003,1.8696
51159040200,51,159,040200,15-24,0.011355,98866,1123,983046,6520081,65.9,0.0067,1.873
51159040200,51,159,040200,25-34,0.006848,97743,669,974086,5537036,56.6,0.004,1.8476
51159040200,51,159,040200,35-44,0.005941,97074,577,967856,4562950,47,0.0035,1.8485
51159040200,51,159,040200,45-54,0.023037,96497,2223,953858,3595094,37.3,0.0071,1.8537
51159040200,51,159,040200,55-64,0.058013,94274,5469,915397,2641236,28,0.0158,1.8822
51159040200,51,159,040200,65-74,0.268028,88805,23802,769040,1725839,19.4,0.0519,1.9559
51159040200,51,159,040200,75-84,0.392542,65003,25516,522447,956799,14.7,0.0799,2.2767
51159040200,51,159,040200,85 and older,1,39487,39487,434352,434352,11,0.0256,3.1005
