Tract ID,STATE2KX,CNTY2KX,TRACT2KX,Age Group,nq(x),l(x),nd(x),nL(x),T(x),e(x),se(nq(x)),se(e(x))
51147930100,51,147,930100,Under 1,0.010027,100000,1003,99098,7356643,73.6,0.0024,0.7615
51147930100,51,147,930100,1-4,0.001846,98997,183,395624,7257545,73.3,0.0004,0.7479
51147930100,51,147,930100,5-14,0.001846,98815,182,987234,6861921,69.4,0.0003,0.7486
51147930100,51,147,930100,15-24,0.012122,98632,1196,980344,5874687,59.6,0.0013,0.7497
51147930100,51,147,930100,25-34,0.020142,97437,1963,964553,4894343,50.2,0.0034,0.7556
51147930100,51,147,930100,35-44,0.033314,95474,3181,938837,3929790,41.2,0.0039,0.7539
51147930100,51,147,930100,45-54,0.06979,92293,6441,890728,2990953,32.4,0.0075,0.7647
51147930100,51,147,930100,55-64,0.132526,85852,11378,801633,2100226,24.5,0.0151,0.7873
51147930100,51,147,930100,65-74,0.230063,74474,17134,659076,1298593,17.4,0.0265,0.8188
51147930100,51,147,930100,75-84,0.434475,57341,24913,448841,639517,11.2,0.0618,0.906
51147930100,51,147,930100,85 and older,1,32428,32428,190676,190676,5.9,0.031,1.0735
51147930202,51,147,930202,Under 1,0.00894,100000,894,99195,7526468,75.3,0.0022,1.1147
51147930202,51,147,930202,1-4,0.001789,99106,177,396069,7427272,74.9,0.0004,1.1122
51147930202,51,147,930202,5-14,0.001905,98929,188,988345,7031203,71.1,0.0004,1.1139
51147930202,51,147,930202,15-24,0.010891,98740,1075,982026,6042858,61.2,0.0021,1.1157
51147930202,51,147,930202,25-34,0.017613,97665,1720,968048,5060832,51.8,0.003,1.1214
51147930202,51,147,930202,35-44,0.027506,95945,2639,946252,4092784,42.7,0.0048,1.1322
51147930202,51,147,930202,45-54,0.054934,93306,5126,907429,3146532,33.7,0.0065,1.1484
51147930202,51,147,930202,55-64,0.109955,88180,9696,833321,2239103,25.4,0.0128,1.1973
51147930202,51,147,930202,65-74,0.206118,78484,16177,703957,1405782,17.9,0.0251,1.3041
51147930202,51,147,930202,75-84,0.427437,62307,26632,489910,701826,11.3,0.0573,1.56
51147930202,51,147,930202,85 and older,1,35675,35675,211916,211916,5.9,0.0707,2.4948
51147930300,51,147,930300,Under 1,0.00894,100000,894,99195,7526468,75.3,0.0011,0.8905
51147930300,51,147,930300,1-4,0.001789,99106,177,396069,7427272,74.9,0.0005,0.8943
51147930300,51,147,930300,5-14,0.001905,98929,188,988345,7031203,71.1,0.0003,0.8953
51147930300,51,147,930300,15-24,0.010891,98740,1075,982026,6042858,61.2,0.0009,0.8967
51147930300,51,147,930300,25-34,0.017613,97665,1720,968048,5060832,51.8,0.0027,0.9051
51147930300,51,147,930300,35-44,0.027506,95945,2639,946252,4092784,42.7,0.0036,0.9122
51147930300,51,147,930300,45-54,0.054935,93306,5126,907429,3146532,33.7,0.0062,0.9272
51147930300,51,147,930300,55-64,0.109955,88180,9696,833321,2239103,25.4,0.0099,0.9604
51147930300,51,147,930300,65-74,0.206118,78484,16177,703957,1405782,17.9,0.0224,1.0486
51147930300,51,147,930300,75-84,0.427437,62307,26632,489910,701826,11.3,0.0571,1.2387
51147930300,51,147,930300,85 and older,1,35675,35675,211916,211916,5.9,0.0529,1.8678
