Tract ID,STATE2KX,CNTY2KX,TRACT2KX,Age Group,nq(x),l(x),nd(x),nL(x),T(x),e(x),se(nq(x)),se(e(x))
51097950400,51,097,950400,Under 1,0.01329,100000,1329,98804,7501861,75,0.0098,1.2767
51097950400,51,097,950400,1-4,0.001789,98671,177,394331,7403057,75,0.0003,1.0496
51097950400,51,097,950400,5-14,0.001905,98495,188,984007,7008726,71.2,0.0003,1.0512
51097950400,51,097,950400,15-24,0.010891,98307,1071,977716,6024719,61.3,0.0018,1.053
51097950400,51,097,950400,25-34,0.023946,97236,2328,960720,5047003,51.9,0.0111,1.0596
51097950400,51,097,950400,35-44,0.016426,94908,1559,941283,4086283,43.1,0.0076,0.9387
51097950400,51,097,950400,45-54,0.031424,93349,2933,918822,3145000,33.7,0.009,0.9062
51097950400,51,097,950400,55-64,0.10867,90415,9825,855028,2226178,24.6,0.0189,0.8939
51097950400,51,097,950400,65-74,0.167751,80590,13519,738305,1371150,17,0.0289,0.8875
51097950400,51,097,950400,75-84,0.388548,67071,26060,540408,632845,9.4,0.0889,0.9408
51097950400,51,097,950400,85 and older,1,41011,41011,92437,92437,2.3,0.2206,1.1208
51097950500,51,097,950500,Under 1,0.007878,100000,788,99291,8195250,82,0.0012,2.2429
51097950500,51,097,950500,1-4,0.001473,99212,146,396557,8095959,81.6,0.0002,2.2587
51097950500,51,097,950500,5-14,0.001909,99066,189,989715,7699403,77.7,0.0005,2.2619
51097950500,51,097,950500,15-24,0.005462,98877,540,986069,6709688,67.9,0.0055,2.266
51097950500,51,097,950500,25-34,0.015088,98337,1484,975950,5723619,58.2,0.0022,2.2512
51097950500,51,097,950500,35-44,0.018232,96853,1766,959703,4747669,49,0.0095,2.2826
51097950500,51,097,950500,45-54,0.032297,95087,3071,935518,3787966,39.8,0.012,2.2841
51097950500,51,097,950500,55-64,0.044814,92016,4124,899545,2852448,31,0.0131,2.3175
51097950500,51,097,950500,65-74,0.139728,87893,12281,817521,1952903,22.2,0.0272,2.3973
51097950500,51,097,950500,75-84,0.221923,75612,16780,672216,1135381,15,0.0561,2.7138
51097950500,51,097,950500,85 and older,1,58832,58832,463165,463165,7.9,0.0542,3.362
