Tract ID,STATE2KX,CNTY2KX,TRACT2KX,Age Group,nq(x),l(x),nd(x),nL(x),T(x),e(x),se(nq(x)),se(e(x))
51680000100,51,680,000100,Under 1,0.005389,100000,539,99515,8177244,81.8,0.001,1.0626
51680000100,51,680,000100,1-4,0.000836,99461,83,397678,8077729,81.2,0.0002,1.065
51680000100,51,680,000100,5-14,0.000845,99378,84,993360,7680051,77.3,0.0001,1.0657
51680000100,51,680,000100,15-24,0.001726,99294,171,992083,6686691,67.3,0.0017,1.0665
51680000100,51,680,000100,25-34,0.008576,99123,850,986976,5694607,57.5,0.0062,1.0629
51680000100,51,680,000100,35-44,0.004355,98273,428,980585,4707631,47.9,0.0044,1.0202
51680000100,51,680,000100,45-54,0.032979,97845,3227,962311,3727046,38.1,0.0113,1.0069
51680000100,51,680,000100,55-64,0.054786,94618,5184,920259,2764735,29.2,0.0141,0.9608
51680000100,51,680,000100,65-74,0.133779,89434,11964,834518,1844476,20.6,0.0245,0.9417
51680000100,51,680,000100,75-84,0.264753,77470,20510,672144,1009958,13,0.036,0.9596
51680000100,51,680,000100,85 and older,1,56959,56959,337814,337814,5.9,0.0339,1.1907
51680000201,51,680,000201,Under 1,0.010142,100000,1014,99087,8360377,83.6,0.0055,1.5872
51680000201,51,680,000201,1-4,0.000836,98986,83,395778,8261290,83.5,0.0002,1.5343
51680000201,51,680,000201,5-14,0.000845,98903,84,988613,7865512,79.5,0.0001,1.5356
51680000201,51,680,000201,15-24,0.006445,98819,637,985010,6876899,69.6,0.0047,1.5368
51680000201,51,680,000201,25-34,0.005963,98183,585,978898,5891889,60,0.0043,1.5164
51680000201,51,680,000201,35-44,0.005944,97597,580,973070,4912991,50.3,0.0035,1.5063
51680000201,51,680,000201,45-54,0.020034,97017,1944,960451,3939920,40.6,0.0056,1.5068
51680000201,51,680,000201,55-64,0.032217,95073,3063,935418,2979469,31.3,0.0077,1.5236
51680000201,51,680,000201,65-74,0.091133,92010,8385,878178,2044050,22.2,0.0173,1.5593
51680000201,51,680,000201,75-84,0.349053,83625,29190,690304,1165873,13.9,0.0572,1.6776
51680000201,51,680,000201,85 and older,1,54436,54436,475569,475569,8.7,0.0298,2.277
51680000202,51,680,000202,Under 1,0.009698,100000,970,99127,7463792,74.6,0.0015,0.9116
51680000202,51,680,000202,1-4,0.001063,99030,105,395910,7364665,74.4,0.0002,0.9133
51680000202,51,680,000202,5-14,0.001385,98925,137,988564,6968754,70.4,0.0003,0.9141
51680000202,51,680,000202,15-24,0.010203,98788,1008,982840,5980190,60.5,0.0015,0.9152
51680000202,51,680,000202,25-34,0.014225,97780,1391,970845,4997350,51.1,0.0018,0.921
51680000202,51,680,000202,35-44,0.026998,96389,2602,950879,4026505,41.8,0.0043,0.9303
51680000202,51,680,000202,45-54,0.065134,93787,6109,907323,3075627,32.8,0.0074,0.9412
51680000202,51,680,000202,55-64,0.123127,87678,10795,822802,2168303,24.7,0.0135,0.9792
51680000202,51,680,000202,65-74,0.224369,76882,17250,682575,1345501,17.5,0.0257,1.0616
51680000202,51,680,000202,75-84,0.436137,59632,26008,466285,662926,11.1,0.0603,1.2597
51680000202,51,680,000202,85 and older,1,33625,33625,196641,196641,5.8,0.0558,1.9098
51680000300,51,680,000300,Under 1,0.006721,100000,672,99395,7426837,74.3,0.0071,1.212
51680000300,51,680,000300,1-4,0.00103,99328,102,397107,7327442,73.8,0.0002,1.0989
51680000300,51,680,000300,5-14,0.00143,99226,142,991547,6930335,69.8,0.0003,1.0999
51680000300,51,680,000300,15-24,0.003282,99084,325,989212,5938788,59.9,0.0033,1.1013
51680000300,51,680,000300,25-34,0.015499,98759,1531,979932,4949576,50.1,0.0072,1.0895
51680000300,51,680,000300,35-44,0.022434,97228,2181,961373,3969644,40.8,0.0117,1.0543
51680000300,51,680,000300,45-54,0.045598,95047,4334,928797,3008271,31.7,0.0138,0.9847
51680000300,51,680,000300,55-64,0.110755,90713,10047,856893,2079474,22.9,0.0233,0.949
51680000300,51,680,000300,65-74,0.320316,80666,25839,677466,1222581,15.2,0.0448,0.9276
51680000300,51,680,000300,75-84,0.574354,54827,31490,390822,545115,9.9,0.0676,0.9458
51680000300,51,680,000300,85 and older,1,23337,23337,154293,154293,6.6,0.0283,1.2384
51680000400,51,680,000400,Under 1,0.005971,100000,597,99463,7396239,74,0.0036,1.5563
51680000400,51,680,000400,1-4,0.002947,99403,293,397026,7296776,73.4,0.003,1.5428
51680000400,51,680,000400,5-14,0.004653,99110,461,988793,6899750,69.6,0.0047,1.5319
51680000400,51,680,000400,15-24,0.010789,98649,1064,981166,5910957,59.9,0.0021,1.5083
51680000400,51,680,000400,25-34,0.006002,97584,586,972916,4929791,50.5,0.0061,1.5203
51680000400,51,680,000400,35-44,0.046904,96999,4550,947239,3956875,40.8,0.0164,1.5037
51680000400,51,680,000400,45-54,0.066021,92449,6104,893973,3009636,32.6,0.0188,1.4388
51680000400,51,680,000400,55-64,0.134301,86345,11596,805473,2115664,24.5,0.0266,1.4214
51680000400,51,680,000400,65-74,0.220532,74749,16485,665069,1310191,17.5,0.0523,1.4892
51680000400,51,680,000400,75-84,0.451807,58265,26324,451024,645122,11.1,0.0909,1.5767
51680000400,51,680,000400,85 and older,1,31940,31940,194098,194098,6.1,0.0599,2.2125
51680000600,51,680,000600,Under 1,0.006516,100000,652,99414,7341901,73.4,0.0039,1.8151
51680000600,51,680,000600,1-4,0.001748,99348,174,397046,7242488,72.9,0.0004,1.8044
51680000600,51,680,000600,5-14,0.005094,99175,505,989222,6845441,69,0.0052,1.8073
51680000600,51,680,000600,15-24,0.00913,98670,901,982191,5856219,59.4,0.0048,1.7856
51680000600,51,680,000600,25-34,0.013518,97769,1322,971079,4874028,49.9,0.007,1.7826
51680000600,51,680,000600,35-44,0.021938,96447,2116,953891,3902949,40.5,0.0095,1.7777
51680000600,51,680,000600,45-54,0.047111,94331,4444,921092,2949058,31.3,0.0139,1.7829
51680000600,51,680,000600,55-64,0.249626,89887,22438,786681,2027966,22.6,0.0447,1.8272
51680000600,51,680,000600,65-74,0.23569,67449,15897,595005,1241285,18.4,0.0538,1.9974
51680000600,51,680,000600,75-84,0.418552,51552,21577,407634,646279,12.5,0.097,2.3037
51680000600,51,680,000600,85 and older,1,29975,29975,238645,238645,8,0.0524,3.3197
51680000801,51,680,000801,Under 1,0.009897,100000,990,99109,7446224,74.5,0.0021,1.071
51680000801,51,680,000801,1-4,0.001098,99010,109,395824,7347115,74.2,0.0003,1.0702
51680000801,51,680,000801,5-14,0.001347,98902,133,988350,6951291,70.3,0.0003,1.0712
51680000801,51,680,000801,15-24,0.010112,98768,999,982690,5962941,60.4,0.0014,1.0725
51680000801,51,680,000801,25-34,0.014613,97770,1429,970553,4980251,50.9,0.0022,1.0806
