Tract ID,STATE2KX,CNTY2KX,TRACT2KX,Age Group,nq(x),l(x),nd(x),nL(x),T(x),e(x),se(nq(x)),se(e(x))
51063920101,51,063,920101,Under 1,0.006064,100000,606,99454,7717861,77.2,0.0011,1.1116
51063920101,51,063,920101,1-4,0.001349,99394,134,397306,7618406,76.6,0.0004,1.1152
51063920101,51,063,920101,5-14,0.001251,99259,124,991974,7221100,72.7,0.0002,1.1163
51063920101,51,063,920101,15-24,0.008781,99135,870,987001,6229126,62.8,0.0011,1.1176
51063920101,51,063,920101,25-34,0.015049,98265,1479,975255,5242125,53.3,0.0015,1.1258
51063920101,51,063,920101,35-44,0.020466,96786,1981,957956,4266871,44.1,0.003,1.1405
51063920101,51,063,920101,45-54,0.043054,94805,4082,927643,3308914,34.9,0.0037,1.1578
51063920101,51,063,920101,55-64,0.088138,90723,7996,867254,2381271,26.2,0.0085,1.2039
51063920101,51,063,920101,65-74,0.18294,82727,15134,751602,1514017,18.3,0.018,1.3022
51063920101,51,063,920101,75-84,0.413296,67593,27936,536252,762415,11.3,0.0683,1.5529
51063920101,51,063,920101,85 and older,1,39657,39657,226163,226163,5.7,0.0718,2.3354
51063920102,51,063,920102,Under 1,0.005776,100000,578,99480,7833087,78.3,0.0084,1.8995
51063920102,51,063,920102,1-4,0.00134,99422,133,397423,7733606,77.8,0.0004,1.7905
51063920102,51,063,920102,5-14,0.001476,99289,147,992159,7336183,73.9,0.0004,1.7926
51063920102,51,063,920102,15-24,0.014225,99143,1410,984375,6344024,64,0.0074,1.7951
51063920102,51,063,920102,25-34,0.031289,97732,3058,962034,5359649,54.8,0.0151,1.7646
51063920102,51,063,920102,35-44,0.009009,94674,853,942479,4397616,46.4,0.0053,1.6364
51063920102,51,063,920102,45-54,0.068166,93821,6395,906238,3455136,36.8,0.0173,1.6358
51063920102,51,063,920102,55-64,0.082833,87426,7242,838051,2548899,29.2,0.0179,1.6375
51063920102,51,063,920102,65-74,0.167618,80184,13440,734641,1710847,21.3,0.0309,1.7097
51063920102,51,063,920102,75-84,0.291071,66744,19427,570303,976207,14.6,0.0479,1.9202
51063920102,51,063,920102,85 and older,1,47317,47317,405903,405903,8.6,0.0346,2.5482
51063920200,51,063,920200,Under 1,0.00761,100000,761,99315,7871020,78.7,0.0059,1.7281
51063920200,51,063,920200,1-4,0.001434,99239,142,396672,7771705,78.3,0.0004,1.6768
51063920200,51,063,920200,5-14,0.001724,99097,171,990114,7375034,74.4,0.0003,1.6789
51063920200,51,063,920200,15-24,0.021333,98926,2110,978707,6384920,64.5,0.0113,1.6817
51063920200,51,063,920200,25-34,0.010814,96816,1047,962921,5406213,55.8,0.0055,1.5669
51063920200,51,063,920200,35-44,0.015646,95769,1498,950194,4443292,46.4,0.0063,1.5578
51063920200,51,063,920200,45-54,0.032453,94270,3059,927406,3493098,37.1,0.0093,1.5597
51063920200,51,063,920200,55-64,0.072155,91211,6581,879202,2565693,28.1,0.0134,1.58
51063920200,51,063,920200,65-74,0.129595,84630,10968,791457,1686490,19.9,0.0233,1.6646
51063920200,51,063,920200,75-84,0.461618,73662,34004,566601,895033,12.2,0.0877,1.8564
51063920200,51,063,920200,85 and older,1,39658,39658,328432,328432,8.3,0.0391,2.685
