Tract ID,STATE2KX,CNTY2KX,TRACT2KX,Age Group,nq(x),l(x),nd(x),nL(x),T(x),e(x),se(nq(x)),se(e(x))
51775010100,51,775,010100,Under 1,0.004289,100000,429,99614,7794870,77.9,0.0025,1.489
51775010100,51,775,010100,1-4,0.00103,99571,103,398080,7695256,77.3,0.0002,1.4822
51775010100,51,775,010100,5-14,0.00143,99469,142,993975,7297177,73.4,0.0002,1.4837
51775010100,51,775,010100,15-24,0.001772,99326,176,992384,6303201,63.5,0.0018,1.4857
51775010100,51,775,010100,25-34,0.011084,99150,1099,986009,5310817,53.6,0.0051,1.4847
51775010100,51,775,010100,35-44,0.010454,98051,1025,975390,4324808,44.1,0.0048,1.4795
51775010100,51,775,010100,45-54,0.048396,97026,4696,946786,3349418,34.5,0.0103,1.4828
51775010100,51,775,010100,55-64,0.114002,92331,10526,870678,2402632,26,0.0201,1.5213
51775010100,51,775,010100,65-74,0.213861,81805,17495,730574,1531954,18.7,0.0398,1.6305
51775010100,51,775,010100,75-84,0.520305,64310,33461,475796,801380,12.5,0.0852,1.8765
51775010100,51,775,010100,85 and older,1,30849,30849,325584,325584,10.6,0.0249,2.7701
51775010200,51,775,010200,Under 1,0.003297,100000,330,99703,7823557,78.2,0.0033,1.1062
51775010200,51,775,010200,1-4,0.000943,99670,94,398493,7723854,77.5,0.0003,1.0787
51775010200,51,775,010200,5-14,0.000937,99576,93,995297,7325360,73.6,0.0002,1.0795
51775010200,51,775,010200,15-24,0.003608,99483,359,993036,6330064,63.6,0.0018,1.0804
51775010200,51,775,010200,25-34,0.023064,99124,2286,979810,5337028,53.8,0.0092,1.0789
51775010200,51,775,010200,35-44,0.026445,96838,2561,955575,4357217,45,0.0105,0.9982
51775010200,51,775,010200,45-54,0.031385,94277,2959,927976,3401643,36.1,0.0083,0.9237
51775010200,51,775,010200,55-64,0.072216,91318,6595,880209,2473667,27.1,0.0136,0.9133
51775010200,51,775,010200,65-74,0.172414,84724,14608,774198,1593458,18.8,0.028,0.9206
51775010200,51,775,010200,75-84,0.395975,70116,27764,562339,819260,11.7,0.0523,0.958
51775010200,51,775,010200,85 and older,1,42352,42352,256921,256921,6.1,0.0344,1.2645
51775010300,51,775,010300,Under 1,0.009139,100000,914,99177,7080998,70.8,0.0067,1.2005
51775010300,51,775,010300,1-4,0.001253,99086,124,396096,6981820,70.5,0.0003,1.1102
51775010300,51,775,010300,5-14,0.004409,98962,436,987438,6585724,66.5,0.0044,1.1114
51775010300,51,775,010300,15-24,0.006564,98526,647,982023,5598287,56.8,0.0047,1.0817
51775010300,51,775,010300,25-34,0.033323,97879,3262,962481,4616264,47.2,0.0106,1.0602
51775010300,51,775,010300,35-44,0.034373,94617,3252,929911,3653783,38.6,0.0103,0.9866
51775010300,51,775,010300,45-54,0.100384,91365,9172,867792,2723872,29.8,0.0196,0.9512
51775010300,51,775,010300,55-64,0.153641,82193,12628,758793,1856081,22.6,0.0231,0.8694
51775010300,51,775,010300,65-74,0.276312,69565,19222,599543,1097288,15.8,0.0358,0.8565
51775010300,51,775,010300,75-84,0.533204,50343,26843,369218,497745,9.9,0.0643,0.9261
51775010300,51,775,010300,85 and older,1,23500,23500,128528,128528,5.5,0.0455,1.3613
51775010501,51,775,010501,Under 1,0.004681,100000,468,99579,7773114,77.7,0.0034,1.6458
51775010501,51,775,010501,1-4,0.000943,99532,94,397940,7673535,77.1,0.0003,1.6319
51775010501,51,775,010501,5-14,0.000937,99438,93,993915,7275595,73.2,0.0002,1.6334
51775010501,51,775,010501,15-24,0.019324,99345,1920,983851,6281679,63.2,0.0101,1.6348
51775010501,51,775,010501,25-34,0.014863,97425,1448,967012,5297828,54.4,0.0069,1.5504
51775010501,51,775,010501,35-44,0.032116,95977,3082,944360,4330815,45.1,0.0124,1.5344
51775010501,51,775,010501,45-54,0.048434,92895,4499,906452,3386455,36.5,0.0135,1.4942
51775010501,51,775,010501,55-64,0.07326,88396,6476,851576,2480003,28.1,0.0178,1.4984
51775010501,51,775,010501,65-74,0.143913,81920,11789,760251,1628426,19.9,0.0268,1.545
51775010501,51,775,010501,75-84,0.320083,70130,22448,589067,868176,12.4,0.0504,1.7205
51775010501,51,775,010501,85 and older,1,47683,47683,279109,279109,5.9,0.07,2.3993
51775010502,51,775,010502,Under 1,0.006794,100000,679,99389,7820593,78.2,0.0018,1.4097
51775010502,51,775,010502,1-4,0.003585,99321,356,396570,7721204,77.7,0.0036,1.4122
51775010502,51,775,010502,5-14,0.002452,98965,243,988432,7324634,74,0.0025,1.3899
51775010502,51,775,010502,15-24,0.007946,98722,784,983297,6336202,64.2,0.0011,1.3829
51775010502,51,775,010502,25-34,0.01274,97937,1248,973136,5352905,54.7,0.0019,1.3925
51775010502,51,775,010502,35-44,0.014907,96690,1441,959691,4379769,45.3,0.0062,1.4071
51775010502,51,775,010502,45-54,0.048013,95248,4573,929618,3420078,35.9,0.0121,1.4049
51775010502,51,775,010502,55-64,0.072917,90675,6612,873694,2490460,27.5,0.0134,1.4166
51775010502,51,775,010502,65-74,0.191546,84064,16102,760125,1616766,19.2,0.03,1.4876
51775010502,51,775,010502,75-84,0.406504,67962,27627,541482,856641,12.6,0.0667,1.7202
51775010502,51,775,010502,85 and older,1,40335,40335,315159,315159,7.8,0.0412,2.5148
