Tract ID,STATE2KX,CNTY2KX,TRACT2KX,Age Group,nq(x),l(x),nd(x),nL(x),T(x),e(x),se(nq(x)),se(e(x))
51033030100,51,033,030100,Under 1,0.014405,100000,1441,98704,7474454,74.7,0.0091,1.3076
51033030100,51,033,030100,1-4,0.001222,98559,120,393997,7375750,74.8,0.0002,1.1287
51033030100,51,033,030100,5-14,0.001623,98439,160,983592,6981753,70.9,0.0003,1.1299
51033030100,51,033,030100,15-24,0.002415,98279,237,981606,5998162,61,0.0018,1.1316
51033030100,51,033,030100,25-34,0.017866,98042,1752,971661,5016556,51.2,0.0074,1.1299
51033030100,51,033,030100,35-44,0.027736,96290,2671,949549,4044895,42,0.0088,1.0945
51033030100,51,033,030100,45-54,0.053346,93620,4994,911225,3095346,33.1,0.0127,1.0719
51033030100,51,033,030100,55-64,0.130511,88625,11567,828420,2184121,24.6,0.0255,1.0598
51033030100,51,033,030100,65-74,0.201042,77059,15492,693127,1355701,17.6,0.0342,1.0227
51033030100,51,033,030100,75-84,0.428571,61567,26386,483738,662574,10.8,0.0821,1.0882
51033030100,51,033,030100,85 and older,1,35181,35181,178836,178836,5.1,0.0478,1.2361
51033030201,51,033,030201,Under 1,0.006987,100000,699,99371,7580434,75.8,0.0012,1.6214
51033030201,51,033,030201,1-4,0.001119,99301,111,396983,7481063,75.3,0.0002,1.6302
51033030201,51,033,030201,5-14,0.001559,99190,155,991129,7084080,71.4,0.0003,1.6319
51033030201,51,033,030201,15-24,0.021898,99036,2169,979512,6092951,61.5,0.0132,1.6343
51033030201,51,033,030201,25-34,0.011194,96867,1084,963247,5113439,52.8,0.0066,1.4791
51033030201,51,033,030201,35-44,0.00854,95783,818,953736,4150191,43.3,0.0061,1.4603
51033030201,51,033,030201,45-54,0.03628,94965,3445,932420,3196455,33.7,0.0114,1.4534
51033030201,51,033,030201,55-64,0.072182,91519,6606,882163,2264036,24.7,0.0217,1.4664
51033030201,51,033,030201,65-74,0.263158,84913,22346,737405,1381873,16.3,0.056,1.5
51033030201,51,033,030201,75-84,0.511811,62568,32023,465563,644468,10.3,0.1236,1.6714
51033030201,51,033,030201,85 and older,1,30545,30545,178906,178906,5.9,0.0595,2.0424
51033030202,51,033,030202,Under 1,0.010745,100000,1075,99033,7588799,75.9,0.0079,2.1032
51033030202,51,033,030202,1-4,0.001582,98925,157,395389,7489766,75.7,0.0005,2.0368
51033030202,51,033,030202,5-14,0.009132,98769,902,983180,7094377,71.8,0.0093,2.0398
51033030202,51,033,030202,15-24,0.010905,97867,1067,973334,6111197,62.4,0.011,1.9582
51033030202,51,033,030202,25-34,0.01073,96800,1039,962804,5137864,53.1,0.0109,1.8705
51033030202,51,033,030202,35-44,0.03882,95761,3717,939024,4175059,43.6,0.0184,1.8133
51033030202,51,033,030202,45-54,0.077793,92044,7160,884635,3236035,35.2,0.0251,1.7235
51033030202,51,033,030202,55-64,0.049945,84883,4239,827636,2351401,27.7,0.0175,1.6426
51033030202,51,033,030202,65-74,0.174188,80644,14047,736202,1523765,18.9,0.044,1.6722
51033030202,51,033,030202,75-84,0.431177,66597,28715,522391,787563,11.8,0.0977,1.8152
51033030202,51,033,030202,85 and older,1,37882,37882,265172,265172,7,0.0497,2.4359
51033030300,51,033,030300,Under 1,0.005385,100000,538,99515,7558751,75.6,0.0055,1.5746
51033030300,51,033,030300,1-4,0.001473,99462,147,397553,7459235,75,0.0003,1.5269
51033030300,51,033,030300,5-14,0.001909,99315,190,992202,7061682,71.1,0.0003,1.529
51033030300,51,033,030300,15-24,0.02809,99125,2784,977332,6069480,61.2,0.0121,1.5317
51033030300,51,033,030300,25-34,0.015306,96341,1475,956037,5092149,52.9,0.0091,1.4014
51033030300,51,033,030300,35-44,0.004521,94866,429,946519,4136112,43.6,0.0046,1.3504
51033030300,51,033,030300,45-54,0.048751,94437,4604,921355,3189593,33.8,0.0133,1.3448
51033030300,51,033,030300,55-64,0.116279,89834,10446,846107,2268238,25.2,0.0244,1.3489
51033030300,51,033,030300,65-74,0.231855,79388,18406,701846,1422131,17.9,0.0449,1.3887
51033030300,51,033,030300,75-84,0.433996,60981,26466,477485,720285,11.8,0.0742,1.5174
51033030300,51,033,030300,85 and older,1,34516,34516,242800,242800,7,0.0438,2.1681
51033030400,51,033,030400,Under 1,0.006415,100000,642,99423,7347048,73.5,0.0066,1.9791
51033030400,51,033,030400,1-4,0.001907,99358,190,397055,7247626,72.9,0.0007,1.9305
