Tract ID,STATE2KX,CNTY2KX,TRACT2KX,Age Group,nq(x),l(x),nd(x),nL(x),T(x),e(x),se(nq(x)),se(e(x))
51167030100,51,167,030100,Under 1,0.005174,100000,517,99534,7934771,79.3,0.0038,2.6096
51167030100,51,167,030100,1-4,0.001796,99483,179,397573,7835236,78.8,0.0004,2.6058
51167030100,51,167,030100,5-14,0.001666,99304,165,992211,7437664,74.9,0.0003,2.6103
51167030100,51,167,030100,15-24,0.00604,99138,599,988390,6445452,65,0.0044,2.6145
51167030100,51,167,030100,25-34,0.014493,98540,1428,978255,5457062,55.4,0.0068,2.6169
51167030100,51,167,030100,35-44,0.041467,97111,4027,950980,4478807,46.1,0.0128,2.6315
51167030100,51,167,030100,45-54,0.079519,93085,7402,893835,3527827,37.9,0.0155,2.6851
51167030100,51,167,030100,55-64,0.108696,85683,9313,810259,2633992,30.7,0.0198,2.8546
51167030100,51,167,030100,65-74,0.185968,76369,14202,692681,1823733,23.9,0.0356,3.1379
51167030100,51,167,030100,75-84,0.328947,62167,20450,519422,1131052,18.2,0.0622,3.7187
51167030100,51,167,030100,85 and older,1,41717,41717,611630,611630,14.7,0.0243,5.2334
51167030200,51,167,030200,Under 1,0.00551,100000,551,99504,7645842,76.5,0.0058,1.586
51167030200,51,167,030200,1-4,0.00179,99449,178,397440,7546338,75.9,0.0004,1.5305
51167030200,51,167,030200,5-14,0.002616,99271,260,991411,7148898,72,0.0026,1.5329
51167030200,51,167,030200,15-24,0.003093,99011,306,988581,6157487,62.2,0.0031,1.5266
51167030200,51,167,030200,25-34,0.016506,98705,1629,978904,5168906,52.4,0.007,1.5207
51167030200,51,167,030200,35-44,0.032616,97076,3166,954926,4190003,43.2,0.0096,1.5074
51167030200,51,167,030200,45-54,0.043982,93910,4130,918444,3235076,34.4,0.0108,1.5086
51167030200,51,167,030200,55-64,0.0998,89779,8960,852992,2316633,25.8,0.0178,1.5393
51167030200,51,167,030200,65-74,0.195787,80819,15823,729075,1463641,18.1,0.0359,1.648
51167030200,51,167,030200,75-84,0.497788,64996,32354,488188,734566,11.3,0.0905,1.9157
51167030200,51,167,030200,85 and older,1,32642,32642,246378,246378,7.5,0.0539,3.0727
51167030300,51,167,030300,Under 1,0.015816,100000,1582,98577,7745452,77.5,0.0103,1.9445
51167030300,51,167,030300,1-4,0.001741,98418,171,393331,7646876,77.7,0.0006,1.7951
51167030300,51,167,030300,5-14,0.001719,98247,169,981626,7253545,73.8,0.0003,1.7977
51167030300,51,167,030300,15-24,0.008965,98078,879,976385,6271919,63.9,0.0065,1.8006
51167030300,51,167,030300,25-34,0.005488,97199,533,969322,5295533,54.5,0.0056,1.7749
51167030300,51,167,030300,35-44,0.018484,96665,1787,957720,4326211,44.8,0.0079,1.7629
51167030300,51,167,030300,45-54,0.058785,94879,5577,920899,3368491,35.5,0.0153,1.766
51167030300,51,167,030300,55-64,0.10383,89301,9272,846651,2447592,27.4,0.0183,1.8005
51167030300,51,167,030300,65-74,0.189819,80029,15191,724335,1600941,20,0.0364,1.9433
51167030300,51,167,030300,75-84,0.315245,64838,20440,546181,876605,13.5,0.0644,2.25
51167030300,51,167,030300,85 and older,1,44398,44398,330425,330425,7.4,0.0554,3.0707
51167030401,51,167,030401,Under 1,0.004249,100000,425,99618,7384959,73.8,0.0031,1.2221
51167030401,51,167,030401,1-4,0.001627,99575,162,397977,7285341,73.2,0.0003,1.2062
51167030401,51,167,030401,5-14,0.002668,99413,265,992805,6887365,69.3,0.0027,1.2079
51167030401,51,167,030401,15-24,0.005996,99148,595,988507,5894559,59.5,0.0035,1.1986
51167030401,51,167,030401,25-34,0.030037,98553,2960,970733,4906053,49.8,0.0089,1.19
51167030401,51,167,030401,35-44,0.02172,95593,2076,945550,3935320,41.2,0.0073,1.151
51167030401,51,167,030401,45-54,0.070854,93517,6626,902038,2989770,32,0.0137,1.1438
51167030401,51,167,030401,55-64,0.087543,86891,7607,830874,2087732,24,0.0164,1.154
51167030401,51,167,030401,65-74,0.197583,79284,15665,714515,1256858,15.9,0.0347,1.2075
51167030401,51,167,030401,75-84,0.663065,63619,42183,425272,542343,8.5,0.1204,1.3863
51167030401,51,167,030401,85 and older,1,21435,21435,117071,117071,5.5,0.0576,1.7189
51167030402,51,167,030402,Under 1,0.006112,100000,611,99450,7859527,78.6,0.0012,2.5824
51167030402,51,167,030402,1-4,0.001632,99389,162,397231,7760077,78.1,0.0006,2.5965
51167030402,51,167,030402,5-14,0.001494,99227,148,991524,7362846,74.2,0.0003,2.6003
51167030402,51,167,030402,15-24,0.004221,99078,418,988692,6371322,64.3,0.0043,2.6041
51167030402,51,167,030402,25-34,0.007874,98660,777,982717,5382630,54.6,0.008,2.6027
51167030402,51,167,030402,35-44,0.026786,97883,2622,965723,4399913,45,0.0115,2.5922
51167030402,51,167,030402,45-54,0.053175,95261,5066,927286,3434190,36.1,0.0147,2.6194
51167030402,51,167,030402,55-64,0.088417,90196,7975,862084,2506904,27.8,0.0179,2.7193
51167030402,51,167,030402,65-74,0.244224,82221,20080,721808,1644820,20,0.0495,2.9425
51167030402,51,167,030402,75-84,0.421377,62141,26185,490483,923012,14.9,0.1011,3.6701
51167030402,51,167,030402,85 and older,1,35956,35956,432529,432529,12,0.0387,5.6011
51167030500,51,167,030500,Under 1,0.007938,100000,794,99286,7312713,73.1,0.0081,1.8869
51167030500,51,167,030500,1-4,0.001741,99206,173,396480,7213428,72.7,0.0004,1.8034
51167030500,51,167,030500,5-14,0.006964,99034,690,986887,6816948,68.8,0.007,1.8062
51167030500,51,167,030500,15-24,0.011325,98344,1114,977870,5830061,59.3,0.0082,1.7613
51167030500,51,167,030500,25-34,0.02851,97230,2772,958441,4852191,49.9,0.0148,1.7224
51167030500,51,167,030500,35-44,0.030257,94458,2858,930291,3893750,41.2,0.0128,1.6281
51167030500,51,167,030500,45-54,0.098571,91600,9029,870855,2963459,32.4,0.024,1.6046
51167030500,51,167,030500,55-64,0.111062,82571,9170,779857,2092604,25.3,0.0252,1.5864
51167030500,51,167,030500,65-74,0.23361,73400,17147,648270,1312747,17.9,0.0508,1.663
51167030500,51,167,030500,75-84,0.419287,56253,23586,444603,664477,11.8,0.0873,1.862
51167030500,51,167,030500,85 and older,1,32667,32667,219875,219875,6.7,0.0591,2.6773
51167030600,51,167,030600,Under 1,0.00814,100000,814,99267,7439338,74.4,0.0062,2.0725
51167030600,51,167,030600,1-4,0.001796,99186,178,396388,7340071,74,0.0005,2.0357
51167030600,51,167,030600,5-14,0.00363,99008,359,988281,6943683,70.1,0.0037,2.0391
51167030600,51,167,030600,15-24,0.006873,98648,678,983094,5955402,60.4,0.007,2.0323
51167030600,51,167,030600,25-34,0.011717,97970,1148,973965,4972308,50.8,0.006,2.0087
51167030600,51,167,030600,35-44,0.076542,96823,7411,931171,3998343,41.3,0.0209,2.0128
