Tract ID,STATE2KX,CNTY2KX,TRACT2KX,Age Group,nq(x),l(x),nd(x),nL(x),T(x),e(x),se(nq(x)),se(e(x))
51179010103,51,179,010103,Under 1,0.002208,100000,221,99801,8285360,82.9,0.0022,2.7065
51179010103,51,179,010103,1-4,0.002647,99779,264,398589,8185559,82,0.0027,2.7061
51179010103,51,179,010103,5-14,0.000756,99515,75,994775,7786971,78.2,0.0001,2.7045
51179010103,51,179,010103,15-24,0.006192,99440,616,991320,6792196,68.3,0.0044,2.7066
51179010103,51,179,010103,25-34,0.007087,98824,700,984739,5800876,58.7,0.001,2.7085
51179010103,51,179,010103,35-44,0.011357,98124,1114,975666,4816137,49.1,0.0058,2.7273
51179010103,51,179,010103,45-54,0.01798,97009,1744,961372,3840471,39.6,0.0075,2.7462
51179010103,51,179,010103,55-64,0.049362,95265,4703,929139,2879099,30.2,0.015,2.7835
51179010103,51,179,010103,65-74,0.154882,90563,14027,835493,1949960,21.5,0.0391,2.8979
51179010103,51,179,010103,75-84,0.288316,76536,22067,655028,1114467,14.6,0.0935,3.3071
51179010103,51,179,010103,85 and older,1,54470,54470,459439,459439,8.4,0.0604,4.2988
51179010105,51,179,010105,Under 1,0.001266,100000,127,99886,7827135,78.3,0.0013,1.2381
51179010105,51,179,010105,1-4,0.000733,99873,73,399347,7727249,77.4,0.0002,1.2356
51179010105,51,179,010105,5-14,0.001614,99800,161,997197,7327902,73.4,0.0016,1.2365
51179010105,51,179,010105,15-24,0.008268,99639,824,992272,6330705,63.5,0.0043,1.2334
51179010105,51,179,010105,25-34,0.009609,98815,950,983405,5338433,54,0.0013,1.2173
51179010105,51,179,010105,35-44,0.011102,97866,1086,973225,4355027,44.5,0.0041,1.2274
51179010105,51,179,010105,45-54,0.026271,96779,2542,955080,3381802,34.9,0.0068,1.2303
51179010105,51,179,010105,55-64,0.042902,94237,4043,922153,2426721,25.8,0.0102,1.2451
51179010105,51,179,010105,65-74,0.151803,90194,13692,833480,1504568,16.7,0.0352,1.2802
51179010105,51,179,010105,75-84,0.542169,76502,41477,557637,671087,8.8,0.1333,1.3967
51179010105,51,179,010105,85 and older,1,35025,35025,113451,113451,3.2,0.1796,1.8843
51179010106,51,179,010106,Under 1,0.007745,100000,774,99303,8007711,80.1,0.0082,1.8486
51179010106,51,179,010106,1-4,0.0009,99226,89,396723,7908408,79.7,0.0002,1.7393
51179010106,51,179,010106,5-14,0.001162,99136,115,990786,7511684,75.8,0.0002,1.7408
51179010106,51,179,010106,15-24,0.0092,99021,911,985655,6520899,65.9,0.0066,1.7428
51179010106,51,179,010106,25-34,0.005797,98110,569,978256,5535244,56.4,0.0059,1.7107
51179010106,51,179,010106,35-44,0.013699,97541,1336,968731,4556988,46.7,0.008,1.6935
51179010106,51,179,010106,45-54,0.009664,96205,930,957402,3588257,37.3,0.0049,1.6822
51179010106,51,179,010106,55-64,0.059642,95275,5682,924341,2630855,27.6,0.0163,1.691
51179010106,51,179,010106,65-74,0.207852,89593,18622,802818,1706514,19,0.0447,1.7494
51179010106,51,179,010106,75-84,0.334572,70971,23745,590984,903696,12.7,0.0851,1.9688
51179010106,51,179,010106,85 and older,1,47226,47226,312712,312712,6.6,0.0583,2.558
51179010107,51,179,010107,Under 1,0.004254,100000,425,99617,8026763,80.3,0.0009,2.1608
51179010107,51,179,010107,1-4,0.005533,99575,551,397196,7927146,79.6,0.0056,2.1689
51179010107,51,179,010107,5-14,0.001013,99024,100,989735,7529950,76,0.0002,2.1355
51179010107,51,179,010107,15-24,0.008673,98923,858,984943,6540215,66.1,0.0063,2.1376
51179010107,51,179,010107,25-34,0.008981,98065,881,976250,5555272,56.6,0.0065,2.1207
51179010107,51,179,010107,35-44,0.010145,97185,986,966917,4579021,47.1,0.006,2.1126
51179010107,51,179,010107,45-54,0.015365,96199,1478,954596,3612105,37.5,0.0066,2.1186
51179010107,51,179,010107,55-64,0.036889,94721,3494,929735,2657508,28.1,0.0113,2.1403
51179010107,51,179,010107,65-74,0.164766,91226,15031,837110,1727773,18.9,0.04,2.2045
51179010107,51,179,010107,75-84,0.336,76195,25602,633946,890663,11.7,0.1277,2.5156
51179010107,51,179,010107,85 and older,1,50594,50594,256717,256717,5.1,0.1264,3.2554
51179010108,51,179,010108,Under 1,0.00908,100000,908,99183,8089160,80.9,0.007,2.6629
51179010108,51,179,010108,1-4,0.000733,99092,73,396223,7989977,80.6,0.0002,2.6248
51179010108,51,179,010108,5-14,0.001042,99019,103,989678,7593754,76.7,0.0002,2.6267
51179010108,51,179,010108,15-24,0.002106,98916,208,988121,6604076,66.8,0.0021,2.6294
51179010108,51,179,010108,25-34,0.013112,98708,1294,980608,5615955,56.9,0.0056,2.6316
51179010108,51,179,010108,35-44,0.00703,97414,685,970713,4635347,47.6,0.0036,2.65
51179010108,51,179,010108,45-54,0.01757,96729,1699,958791,3664634,37.9,0.0053,2.6643
51179010108,51,179,010108,55-64,0.04517,95029,4293,928832,2705842,28.5,0.0134,2.7058
51179010108,51,179,010108,65-74,0.162602,90737,14754,833599,1777011,19.6,0.0386,2.8129
51179010108,51,179,010108,75-84,0.381992,75983,29025,614705,943412,12.4,0.107,3.2616
51179010108,51,179,010108,85 and older,1,46958,46958,328707,328707,7,0.099,4.8516
51179010202,51,179,010202,Under 1,0.002624,100000,262,99764,7745788,77.5,0.0027,1.1965
51179010202,51,179,010202,1-4,0.000725,99738,72,398806,7646024,76.7,0.0002,1.1817
51179010202,51,179,010202,5-14,0.001921,99665,191,995696,7247218,72.7,0.0019,1.1825
51179010202,51,179,010202,15-24,0.012977,99474,1291,988284,6251522,62.8,0.005,1.1775
51179010202,51,179,010202,25-34,0.005397,98183,530,979180,5263238,53.6,0.0039,1.1553
51179010202,51,179,010202,35-44,0.012315,97653,1203,970518,4284058,43.9,0.0051,1.1459
51179010202,51,179,010202,45-54,0.036473,96450,3518,946915,3313540,34.4,0.0071,1.1423
51179010202,51,179,010202,55-64,0.084913,92933,7891,889870,2366625,25.5,0.0143,1.1641
51179010202,51,179,010202,65-74,0.210317,85041,17886,760985,1476755,17.4,0.035,1.2234
51179010202,51,179,010202,75-84,0.369291,67156,24800,547557,715770,10.7,0.0952,1.3855
51179010202,51,179,010202,85 and older,1,42356,42356,168213,168213,4,0.1097,1.7298
51179010204,51,179,010204,Under 1,0.005896,100000,590,99469,7997179,80,0.0013,1.0627
51179010204,51,179,010204,1-4,0.000696,99410,69,397503,7897709,79.4,0.0002,1.0637
51179010204,51,179,010204,5-14,0.001017,99341,101,992907,7500206,75.5,0.0002,1.0644
51179010204,51,179,010204,15-24,0.006787,99240,674,989034,6507299,65.6,0.0007,1.0654
51179010204,51,179,010204,25-34,0.008731,98567,861,981363,5518265,56,0.0009,1.0718
51179010204,51,179,010204,35-44,0.010282,97706,1005,972037,4536902,46.4,0.0009,1.0802
51179010204,51,179,010204,45-54,0.024987,96701,2416,954932,3564865,36.9,0.0021,1.0908
51179010204,51,179,010204,55-64,0.058651,94285,5530,915201,2609933,27.7,0.0059,1.1164
51179010204,51,179,010204,65-74,0.136333,88755,12100,827050,1694732,19.1,0.016,1.1764
51179010204,51,179,010204,75-84,0.389938,76655,29891,617096,867682,11.3,0.0793,1.328
51179010204,51,179,010204,85 and older,1,46764,46764,250586,250586,5.4,0.0596,1.7103
51179010205,51,179,010205,Under 1,0.005578,100000,558,99498,8038040,80.4,0.0009,1.5614
51179010205,51,179,010205,1-4,0.000652,99442,65,397639,7938542,79.8,0.0002,1.5682
51179010205,51,179,010205,5-14,0.000908,99377,90,993323,7540903,75.9,0.0001,1.5692
51179010205,51,179,010205,15-24,0.006405,99287,636,989692,6547580,65.9,0.0006,1.5706
51179010205,51,179,010205,25-34,0.007758,98651,765,982685,5557888,56.3,0.0009,1.5802
51179010205,51,179,010205,35-44,0.009356,97886,916,974280,4575203,46.7,0.0008,1.5918
51179010205,51,179,010205,45-54,0.023243,96970,2254,958431,3600923,37.1,0.0016,1.6065
51179010205,51,179,010205,55-64,0.056383,94716,5340,920460,2642492,27.9,0.005,1.6439
51179010205,51,179,010205,65-74,0.13105,89376,11713,835195,1722031,19.3,0.0207,1.7374
51179010205,51,179,010205,75-84,0.372619,77663,28939,631938,886836,11.4,0.0997,1.9609
51179010205,51,179,010205,85 and older,1,48724,48724,254898,254898,5.2,0.0975,2.6689
51179010206,51,179,010206,Under 1,0.007256,100000,726,99347,7941850,79.4,0.0019,2.0711
51179010206,51,179,010206,1-4,0.000733,99274,73,396952,7842503,79,0.0002,2.0806
51179010206,51,179,010206,5-14,0.001042,99202,103,991499,7445551,75.1,0.0001,2.0821
51179010206,51,179,010206,15-24,0.005154,99098,511,988429,6454051,65.1,0.003,2.0843
51179010206,51,179,010206,25-34,0.002441,98588,241,984672,5465622,55.4,0.0025,2.087
51179010206,51,179,010206,35-44,0.002267,98347,223,982354,4480950,45.6,0.0023,2.0884
51179010206,51,179,010206,45-54,0.022711,98124,2229,970097,3498597,35.7,0.0065,2.0911
51179010206,51,179,010206,55-64,0.067764,95895,6498,926463,2528500,26.4,0.0159,2.1295
51179010206,51,179,010206,65-74,0.176933,89397,15817,814885,1602037,17.9,0.0383,2.2505
51179010206,51,179,010206,75-84,0.495496,73580,36458,553506,787152,10.7,0.1382,2.6347
51179010206,51,179,010206,85 and older,1,37121,37121,233646,233646,6.3,0.1062,4.2079
51179010207,51,179,010207,Under 1,0.008099,100000,810,99271,7661717,76.6,0.0036,1.4393
51179010207,51,179,010207,1-4,0.000999,99190,99,396562,7562446,76.2,0.001,1.4233
51179010207,51,179,010207,5-14,0.00093,99091,92,990450,7165884,72.3,0.0001,1.4228
51179010207,51,179,010207,15-24,0.005552,98999,550,987240,6175434,62.4,0.0033,1.4241
51179010207,51,179,010207,25-34,0.007003,98449,689,981045,5188193,52.7,0.003,1.4193
51179010207,51,179,010207,35-44,0.006947,97760,679,974202,4207148,43,0.0029,1.4221
51179010207,51,179,010207,45-54,0.046281,97081,4493,948342,3232946,33.3,0.0101,1.4276
51179010207,51,179,010207,55-64,0.082097,92588,7601,887871,2284605,24.7,0.0186,1.4637
51179010207,51,179,010207,65-74,0.153257,84986,13025,784741,1396734,16.4,0.039,1.534
51179010207,51,179,010207,75-84,0.507365,71962,36511,537063,611993,8.5,0.1922,1.7014
51179010207,51,179,010207,85 and older,1,35451,35451,74930,74930,2.1,0.4603,2.0565
51179010210,51,179,010210,Under 1,0.007256,100000,726,99347,7884044,78.8,0.0011,1.8931
51179010210,51,179,010210,1-4,0.000733,99274,73,396952,7784697,78.4,0.0002,1.9048
51179010210,51,179,010210,5-14,0.001042,99202,103,991499,7387745,74.5,0.0002,1.9062
51179010210,51,179,010210,15-24,0.007906,99098,784,987065,6396246,64.5,0.001,1.9081
51179010210,51,179,010210,25-34,0.009609,98315,945,978424,5409181,55,0.0014,1.9224
51179010210,51,179,010210,35-44,0.012961,97370,1262,967390,4430757,45.5,0.0013,1.9397
51179010210,51,179,010210,45-54,0.030682,96108,2949,946336,3463367,36,0.0026,1.9645
51179010210,51,179,010210,55-64,0.071894,93159,6698,898104,2517031,27,0.0101,2.0248
51179010210,51,179,010210,65-74,0.165184,86462,14282,793206,1618927,18.7,0.0568,2.1662
51179010210,51,179,010210,75-84,0.394326,72180,28462,579484,825721,11.4,0.1359,2.3411
51179010210,51,179,010210,85 and older,1,43717,43717,246236,246236,5.6,0.0959,3.0416
51179010212,51,179,010212,Under 1,0.009175,100000,917,99174,7880534,78.8,0.0057,2.4287
51179010212,51,179,010212,1-4,0.000674,99083,67,396197,7781359,78.5,0.0001,2.4089
51179010212,51,179,010212,5-14,0.000883,99016,87,989721,7385163,74.6,0.0001,2.4105
51179010212,51,179,010212,15-24,0.010139,98928,1003,984268,6395442,64.6,0.0052,2.4126
51179010212,51,179,010212,25-34,0.005164,97925,506,976724,5411174,55.3,0.0037,2.4169
51179010212,51,179,010212,35-44,0.010043,97420,978,969304,4434449,45.5,0.0051,2.4222
51179010212,51,179,010212,45-54,0.040036,96441,3861,945107,3465145,35.9,0.0099,2.4375
51179010212,51,179,010212,55-64,0.017662,92580,1635,917626,2520038,27.2,0.008,2.5174
51179010212,51,179,010212,65-74,0.229111,90945,20836,805268,1602412,17.6,0.0636,2.556
51179010212,51,179,010212,75-84,0.292208,70109,20486,598654,797144,11.4,0.1331,3.0276
51179010212,51,179,010212,85 and older,1,49622,49622,198489,198489,4,0.2455,3.9288
