Tract ID,STATE2KX,CNTY2KX,TRACT2KX,e(0),se(e(0)),Abridged life table flag
51069050100,51,069,050100,77.8,1.7055,3
51069050300,51,069,050300,79.1,1.5855,3
51069050400,51,069,050400,77.7,1.8,1
51069050500,51,069,050500,79,1.1569,3
51069050600,51,069,050600,81,1.9048,3
51069050700,51,069,050700,78.4,1.2405,3
51069050801,51,069,050801,76.8,1.1299,3
51069050802,51,069,050802,78,1.5013,3
51069050803,51,069,050803,78.6,1.3911,3
51069050900,51,069,050900,78,1.2391,3
51069051000,51,069,051000,81.6,1.5033,3
51069051101,51,069,051101,77.8,1.3597,1
51069051102,51,069,051102,77.2,1.0816,3
