Tract ID,STATE2KX,CNTY2KX,TRACT2KX,e(0),se(e(0)),Abridged life table flag
51107610101,51,107,610101,83.4,2.7218,3
51107610102,51,107,610102,78.9,1.4352,3
51107610201,51,107,610201,85.3,2.6971,3
51107610202,51,107,610202,80.8,1.4674,3
51107610300,51,107,610300,82.6,1.6264,3
51107610400,51,107,610400,81.9,1.6031,3
51107610503,51,107,610503,80.8,2.1176,2
51107610504,51,107,610504,82.8,2.7992,1
51107610505,51,107,610505,76.6,1.5097,1
51107610506,51,107,610506,81.8,2.6231,2
51107610507,51,107,610507,80.3,1.7194,2
51107610601,51,107,610601,82.7,1.8801,3
51107610603,51,107,610603,79.4,1.6681,2
51107610701,51,107,610701,84.6,3.3174,3
51107610702,51,107,610702,84.9,2.6346,3
51107610703,51,107,610703,80.7,1.4585,3
51107610800,51,107,610800,83.5,3.6418,3
51107610900,51,107,610900,81.1,2.5919,3
51107611004,51,107,611004,81.9,2.9889,3
51107611006,51,107,611006,83,3.5707,3
51107611013,51,107,611013,82.4,2.3318,3
51107611014,51,107,611014,82.5,2.8398,3
51107611016,51,107,611016,80.7,1.0365,2
51107611017,51,107,611017,84.4,3.1259,3
51107611018,51,107,611018,83.9,1.8838,3
51107611020,51,107,611020,80.8,2.0973,2
51107611024,51,107,611024,82,2.7964,3
51107611101,51,107,611101,80,1.4777,3
51107611102,51,107,611102,86.3,3.9494,3
51107611202,51,107,611202,84.3,1.0974,3
51107611204,51,107,611204,78.6,2.3807,3
51107611205,51,107,611205,81.8,1.4336,2
51107611206,51,107,611206,81.6,2.873,3
51107611207,51,107,611207,84.1,3.2544,3
51107611208,51,107,611208,80.3,2.5403,2
51107611209,51,107,611209,80.7,1.2682,2
51107611300,51,107,611300,81.8,1.6888,2
51107611400,51,107,611400,82.6,2.9357,3
51107611502,51,107,611502,79.5,1.3896,3
51107611601,51,107,611601,85.6,3.7914,3
51107611602,51,107,611602,78.7,2.0256,2
51107611700,51,107,611700,78.9,1.5586,3
51107611803,51,107,611803,80.9,2.8669,2
51107611806,51,107,611806,83.8,3.8341,3
51107611900,51,107,611900,80.6,3.1959,3
