Tract ID,STATE2KX,CNTY2KX,TRACT2KX,e(0),se(e(0)),Abridged life table flag
51087200104,51,087,200104,76.4,1.342,3
51087200105,51,087,200105,76.7,0.8927,2
51087200106,51,087,200106,81.6,1.3588,3
51087200107,51,087,200107,79.8,0.9642,3
51087200108,51,087,200108,84.5,1.4609,3
51087200109,51,087,200109,84.9,1.9743,3
51087200116,51,087,200116,80.2,1.3527,3
51087200119,51,087,200119,80.4,1.5209,2
51087200120,51,087,200120,82.7,1.4265,3
51087200121,51,087,200121,84,3.1298,3
51087200122,51,087,200122,85.6,3.3685,3
51087200123,51,087,200123,81,2.4649,3
51087200124,51,087,200124,80.3,1.1106,3
51087200125,51,087,200125,79,1.7837,2
51087200127,51,087,200127,80,1.057,3
51087200129,51,087,200129,83.7,2.2341,3
51087200130,51,087,200130,80.3,1.0576,2
51087200201,51,087,200201,78.5,1.2406,3
51087200202,51,087,200202,81.1,0.8372,2
51087200301,51,087,200301,77.7,1.995,3
51087200302,51,087,200302,79.6,1.9729,3
51087200303,51,087,200303,75.5,1.4542,3
51087200305,51,087,200305,79.5,1.1395,3
51087200404,51,087,200404,76.1,2.1503,3
51087200406,51,087,200406,79,1.1088,3
51087200407,51,087,200407,82.6,1.9661,3
51087200409,51,087,200409,80.6,2.1942,3
51087200410,51,087,200410,78.1,1.535,3
51087200412,51,087,200412,78,2.5957,3
51087200413,51,087,200413,84.3,1.6797,3
51087200414,51,087,200414,82.7,3.4578,3
51087200501,51,087,200501,75.7,1.0218,2
51087200502,51,087,200502,78.3,1.9945,3
51087200503,51,087,200503,72.7,2.2528,3
51087200600,51,087,200600,79.1,1.6341,3
51087200700,51,087,200700,71.5,1.6562,3
51087200801,51,087,200801,75.8,1.6003,3
51087200802,51,087,200802,79.9,2.2025,3
51087200804,51,087,200804,74.8,1.9669,3
51087200805,51,087,200805,74.7,1.7624,1
51087200903,51,087,200903,78.7,1.6235,3
51087200904,51,087,200904,81.4,1.368,3
51087200905,51,087,200905,76.8,1.4645,3
51087200906,51,087,200906,78.6,1.2893,3
51087201001,51,087,201001,78.8,1.9714,1
51087201002,51,087,201002,73,1.9354,3
51087201003,51,087,201003,75.3,2.0012,3
51087201101,51,087,201101,76.4,1.3159,3
51087201102,51,087,201102,76.5,1.6286,3
51087201201,51,087,201201,73.3,1.655,2
51087201202,51,087,201202,74.5,1.6474,3
51087201401,51,087,201401,76.1,2.1872,3
51087201403,51,087,201403,76.8,1.3628,3
51087201404,51,087,201404,77.6,1.6682,3
51087201501,51,087,201501,77.8,1.3308,1
51087201502,51,087,201502,81.8,2.1682,3
51087201601,51,087,201601,78.7,1.9725,3
51087201602,51,087,201602,77.6,1.2178,1
51087201701,51,087,201701,75.5,1.7106,3
