Tract ID,STATE2KX,CNTY2KX,TRACT2KX,e(0),se(e(0)),Abridged life table flag
51095080101,51,095,080101,80.4,0.7985,2
51095080102,51,095,080102,72.1,1.336,3
51095080202,51,095,080202,80.9,1.5371,3
51095080203,51,095,080203,80.7,1.4414,3
51095080205,51,095,080205,80.4,1.8058,3
51095080206,51,095,080206,89,3.0851,3
51095080301,51,095,080301,78.1,1.1379,3
51095080303,51,095,080303,80.8,1.1792,3
51095080304,51,095,080304,85.7,1.4553,3
51095080401,51,095,080401,82.9,1.8083,3
51095080402,51,095,080402,81.5,1.7886,3
