Tract ID,STATE2KX,CNTY2KX,TRACT2KX,e(0),se(e(0)),Abridged life table flag
51740210300,51,740,210300,78.3,1.9288,3
51740210400,51,740,210400,78.2,2.0659,3
51740210500,51,740,210500,72.8,2.6823,3
51740210600,51,740,210600,75.3,1.6689,3
51740210900,51,740,210900,75.9,1.3026,3
51740211400,51,740,211400,72.9,1.7441,3
51740211500,51,740,211500,66.1,1.95,3
51740211600,51,740,211600,74.4,1.4111,3
51740211700,51,740,211700,70.3,1.8874,3
51740211800,51,740,211800,67.3,1.5909,1
51740211900,51,740,211900,67.9,2.1575,1
51740212100,51,740,212100,67.6,3.6531,3
51740212300,51,740,212300,71.4,1.7831,3
51740212400,51,740,212400,71.8,1.4951,2
51740212500,51,740,212500,71.6,1.4978,3
51740212600,51,740,212600,69.3,2.6905,3
51740212701,51,740,212701,73.3,3.4394,3
51740212702,51,740,212702,68.6,2.0375,3
51740212801,51,740,212801,73.5,1.4709,3
51740212802,51,740,212802,77.2,1.4476,3
51740213001,51,740,213001,79.7,1.3996,3
51740213002,51,740,213002,76.6,2.5996,2
51740213101,51,740,213101,73.2,1.6963,1
51740213103,51,740,213103,79.2,1.4039,3
51740213104,51,740,213104,75.9,1.5523,3
51740213200,51,740,213200,71.6,1.9339,3
