Tract ID,STATE2KX,CNTY2KX,TRACT2KX,e(0),se(e(0)),Abridged life table flag
51061930100,51,061,930100,78.3,1.329,1
51061930203,51,061,930203,82.2,2.3793,3
51061930204,51,061,930204,83.3,2.7077,3
51061930205,51,061,930205,80.7,3.8183,3
51061930206,51,061,930206,79.5,1.6483,3
51061930302,51,061,930302,76.4,2.6584,3
51061930303,51,061,930303,80.7,1.9093,3
51061930304,51,061,930304,78.2,1.3532,3
51061930401,51,061,930401,81.2,1.6135,3
51061930402,51,061,930402,79.3,1.2784,1
51061930403,51,061,930403,78.5,1.1869,3
51061930703,51,061,930703,79.4,2.6513,2
51061930704,51,061,930704,80.3,2.3045,3
51061930705,51,061,930705,76.5,1.4666,3
51061930706,51,061,930706,77.2,1.3354,2
51061930707,51,061,930707,76.6,1.559,3
